지역명,규모구분,연도,월,분양가격(㎡),date
서울,전체,2015,10,5841,201510
서울,전용면적 60㎡이하,2015,10,5652,201510
서울,전용면적 60㎡초과 85㎡이하,2015,10,5882,201510
서울,전용면적 85㎡초과 102㎡이하,2015,10,5721,201510
서울,전용면적 102㎡초과,2015,10,5879,201510
인천,전체,2015,10,3163,201510
인천,전용면적 60㎡이하,2015,10,3488,201510
인천,전용면적 60㎡초과 85㎡이하,2015,10,3119,201510
인천,전용면적 85㎡초과 102㎡이하,2015,10,3545,201510
인천,전용면적 102㎡초과,2015,10,3408,201510
경기,전체,2015,10,3138,201510
경기,전용면적 60㎡이하,2015,10,3126,201510
경기,전용면적 60㎡초과 85㎡이하,2015,10,3239,201510
경기,전용면적 85㎡초과 102㎡이하,2015,10,3496,201510
경기,전용면적 102㎡초과,2015,10,3680,201510
부산,전체,2015,10,3112,201510
부산,전용면적 60㎡이하,2015,10,2950,201510
부산,전용면적 60㎡초과 85㎡이하,2015,10,2999,201510
부산,전용면적 85㎡초과 102㎡이하,2015,10,2957,201510
부산,전용면적 102㎡초과,2015,10,3500,201510
대구,전체,2015,10,2682,201510
대구,전용면적 60㎡이하,2015,10,2614,201510
대구,전용면적 60㎡초과 85㎡이하,2015,10,2696,201510
대구,전용면적 85㎡초과 102㎡이하,2015,10,2557,201510
대구,전용면적 102㎡초과,2015,10,2598,201510
광주,전체,2015,10,2420,201510
광주,전용면적 60㎡이하,2015,10,2253,201510
광주,전용면적 60㎡초과 85㎡이하,2015,10,2439,201510
광주,전용면적 85㎡초과 102㎡이하,2015,10,  ,201510
광주,전용면적 102㎡초과,2015,10,  ,201510
대전,전체,2015,10,2454,201510
대전,전용면적 60㎡이하,2015,10,2585,201510
대전,전용면적 60㎡초과 85㎡이하,2015,10,2428,201510
대전,전용면적 85㎡초과 102㎡이하,2015,10,2461,201510
대전,전용면적 102㎡초과,2015,10,  ,201510
울산,전체,2015,10,3053,201510
울산,전용면적 60㎡이하,2015,10,2422,201510
울산,전용면적 60㎡초과 85㎡이하,2015,10,3040,201510
울산,전용면적 85㎡초과 102㎡이하,2015,10,2951,201510
울산,전용면적 102㎡초과,2015,10,2690,201510
세종,전체,2015,10,2642,201510
세종,전용면적 60㎡이하,2015,10,2572,201510
세종,전용면적 60㎡초과 85㎡이하,2015,10,2657,201510
세종,전용면적 85㎡초과 102㎡이하,2015,10,2644,201510
세종,전용면적 102㎡초과,2015,10,2692,201510
강원,전체,2015,10,2167,201510
강원,전용면적 60㎡이하,2015,10,2286,201510
강원,전용면적 60㎡초과 85㎡이하,2015,10,2212,201510
강원,전용면적 85㎡초과 102㎡이하,2015,10,2061,201510
강원,전용면적 102㎡초과,2015,10,2171,201510
충북,전체,2015,10,2032,201510
충북,전용면적 60㎡이하,2015,10,1919,201510
충북,전용면적 60㎡초과 85㎡이하,2015,10,2033,201510
충북,전용면적 85㎡초과 102㎡이하,2015,10,2102,201510
충북,전용면적 102㎡초과,2015,10,2369,201510
충남,전체,2015,10,2099,201510
충남,전용면적 60㎡이하,2015,10,2206,201510
충남,전용면적 60㎡초과 85㎡이하,2015,10,2101,201510
충남,전용면적 85㎡초과 102㎡이하,2015,10,2743,201510
충남,전용면적 102㎡초과,2015,10,2442,201510
전북,전체,2015,10,2054,201510
전북,전용면적 60㎡이하,2015,10,2127,201510
전북,전용면적 60㎡초과 85㎡이하,2015,10,2056,201510
전북,전용면적 85㎡초과 102㎡이하,2015,10,2377,201510
전북,전용면적 102㎡초과,2015,10,2250,201510
전남,전체,2015,10,1925,201510
전남,전용면적 60㎡이하,2015,10,1999,201510
전남,전용면적 60㎡초과 85㎡이하,2015,10,1922,201510
전남,전용면적 85㎡초과 102㎡이하,2015,10,2262,201510
전남,전용면적 102㎡초과,2015,10,2292,201510
경북,전체,2015,10,2148,201510
경북,전용면적 60㎡이하,2015,10,2204,201510
경북,전용면적 60㎡초과 85㎡이하,2015,10,2145,201510
경북,전용면적 85㎡초과 102㎡이하,2015,10,2308,201510
경북,전용면적 102㎡초과,2015,10,2222,201510
경남,전체,2015,10,2291,201510
