분양가격(㎡),지역명,규모구분,date,신규취급액기준 COFIX,CPI총지수,전산업생산지수(원지수),google
5841.0,서울,전체,201510,1.57,100.33,102.5,17.25
5652.0,서울,전용면적 60㎡이하,201510,1.57,100.33,102.5,17.25
5882.0,서울,전용면적 60㎡초과 85㎡이하,201510,1.57,100.33,102.5,17.25
5721.0,서울,전용면적 85㎡초과 102㎡이하,201510,1.57,100.33,102.5,17.25
5879.0,서울,전용면적 102㎡초과,201510,1.57,100.33,102.5,17.25
3163.0,인천,전체,201510,1.57,100.33,102.5,17.25
3488.0,인천,전용면적 60㎡이하,201510,1.57,100.33,102.5,17.25
3119.0,인천,전용면적 60㎡초과 85㎡이하,201510,1.57,100.33,102.5,17.25
3545.0,인천,전용면적 85㎡초과 102㎡이하,201510,1.57,100.33,102.5,17.25
3408.0,인천,전용면적 102㎡초과,201510,1.57,100.33,102.5,17.25
3138.0,경기,전체,201510,1.57,100.33,102.5,17.25
3126.0,경기,전용면적 60㎡이하,201510,1.57,100.33,102.5,17.25
3239.0,경기,전용면적 60㎡초과 85㎡이하,201510,1.57,100.33,102.5,17.25
3496.0,경기,전용면적 85㎡초과 102㎡이하,201510,1.57,100.33,102.5,17.25
3680.0,경기,전용면적 102㎡초과,201510,1.57,100.33,102.5,17.25
3112.0,부산,전체,201510,1.57,100.33,102.5,17.25
2950.0,부산,전용면적 60㎡이하,201510,1.57,100.33,102.5,17.25
2999.0,부산,전용면적 60㎡초과 85㎡이하,201510,1.57,100.33,102.5,17.25
2957.0,부산,전용면적 85㎡초과 102㎡이하,201510,1.57,100.33,102.5,17.25
3500.0,부산,전용면적 102㎡초과,201510,1.57,100.33,102.5,17.25
2682.0,대구,전체,201510,1.57,100.33,102.5,17.25
2614.0,대구,전용면적 60㎡이하,201510,1.57,100.33,102.5,17.25
2696.0,대구,전용면적 60㎡초과 85㎡이하,201510,1.57,100.33,102.5,17.25
2557.0,대구,전용면적 85㎡초과 102㎡이하,201510,1.57,100.33,102.5,17.25
2598.0,대구,전용면적 102㎡초과,201510,1.57,100.33,102.5,17.25
2420.0,광주,전체,201510,1.57,100.33,102.5,17.25
