분양가격(㎡),date,신규취급액기준 COFIX,CPI총지수,전산업생산지수(원지수),google
5841.0,201510,1.57,100.33,102.5,17.25
3138.0,201510,1.57,100.33,102.5,17.25
6050.0,201511,1.66,100.18,101.6,31.6
3098.0,201511,1.66,100.18,101.6,31.6
6041.0,201512,1.72,100.55,112.3,21.75
3198.0,201512,1.72,100.55,112.3,21.75
6108.0,201601,1.65,100.63,97.0,10.4
3198.0,201601,1.65,100.63,97.0,10.4
6111.0,201602,1.57,101.03,93.4,13.0
3219.0,201602,1.57,101.03,93.4,13.0
6173.0,201603,1.55,100.71,105.1,26.0
3215.0,201603,1.55,100.71,105.1,26.0
6241.0,201604,1.55,100.88,100.8,34.75
3199.0,201604,1.55,100.88,100.8,34.75
6264.0,201605,1.54,100.92,102.6,45.2
3443.0,201605,1.54,100.92,102.6,45.2
6208.0,201606,1.44,100.87,107.0,18.5
3542.0,201606,1.44,100.87,107.0,18.5
6254.0,201607,1.32,100.76,101.7,12.4
3531.0,201607,1.32,100.76,101.7,12.4
6285.0,201608,1.31,101.15,100.8,32.5
3561.0,201608,1.31,101.15,100.8,32.5
6283.0,201609,1.35,101.72,101.8,12.75
3360.0,201609,1.35,101.72,101.8,12.75
6400.0,201610,1.41,101.86,104.3,25.2
3431.0,201610,1.41,101.86,104.3,25.2
6370.0,201611,1.51,101.73,106.3,34.0
3546.0,201611,1.51,101.73,106.3,34.0
6443.0,201612,1.56,101.89,116.5,48.0
3555.0,201612,1.56,101.89,116.5,48.0
6450.0,201701,1.5,102.77,99.3,21.4
3554.0,201701,1.5,102.77,99.3,21.4
6464.0,201702,1.48,103.0,98.5,33.25
3607.0,201702,1.48,103.0,98.5,33.25
6370.0,201703,1.48,103.07,109.6,19.0
3632.0,201703,1.48,103.07,109.6,19.0
6366.0,201704,1.46,102.98,104.2,35.6
3604.0,201704,1.46,102.98,104.2,35.6
6400.0,201705,1.47,103.12,105.2,23.5
3474.0,201705,1.47,103.12,105.2,23.5
6667.0,201706,1.48,102.97,108.9,48.25
3489.0,201706,1.48,102.97,108.9,48.25
6573.0,201707,1.47,103.28,104.4,24.0
3629.0,201707,1.47,103.28,104.4,24.0
6172.0,201708,1.47,103.89,103.3,35.5
3641.0,201708,1.47,103.89,103.3,35.5
6507.0,201709,1.52,103.78,109.7,35.5
3628.0,201709,1.52,103.78,109.7,35.5
6578.0,201710,1.62,103.52,101.7,38.0
3625.0,201710,1.62,103.52,101.7,38.0
6706.0,201712,1.79,103.16,115.9,28.4
3617.0,201712,1.79,103.16,115.9,28.4
6623.0,201801,1.78,103.57,103.9,31.5
3846.0,201801,1.78,103.57,103.9,31.5
6631.0,201802,1.77,104.32,97.7,35.5
3876.0,201802,1.77,104.32,97.7,35.5
6836.0,201803,1.82,104.31,109.1,40.25
3876.0,201803,1.82,104.31,109.1,40.25
6841.0,201804,1.79,104.55,106.7,31.6
3859.0,201804,1.79,104.55,106.7,31.6
6919.0,201805,1.82,104.56,107.3,45.5
3987.0,201805,1.82,104.56,107.3,45.5
6694.0,201806,1.84,104.19,110.0,23.25
3927.0,201806,1.84,104.19,110.0,23.25
6820.0,201807,1.81,104.16,107.0,20.6
3952.0,201807,1.81,104.16,107.0,20.6
6731.0,201808,1.8,105.04,105.4,32.75
4070.0,201808,1.8,105.04,105.4,32.75
6994.0,201809,1.83,105.7,104.8,37.2
4094.0,201809,1.83,105.7,104.8,37.2
7378.0,201810,1.93,105.33,109.4,21.5
4136.0,201810,1.93,105.33,109.4,21.5
7369.0,201811,1.96,104.77,108.4,29.0
4151.0,201811,1.96,104.77,108.4,29.0
7398.0,201812,2.04,104.49,116.4,22.2
4175.0,201812,2.04,104.49,116.4,22.2
7600.0,201901,1.99,104.54,104.8,18.5
4258.0,201901,1.99,104.54,104.8,18.5
7627.0,201902,1.92,105.07,95.8,16.25
4256.0,201902,1.92,105.07,95.8,16.25
7772.0,201903,1.94,104.86,108.4,24.6
4369.0,201903,1.94,104.86,108.4,24.6
7784.0,201904,1.85,105.26,107.4,23.25
4411.0,201904,1.85,105.26,107.4,23.25
7786.0,201905,1.85,105.31,108.7,28.0
4351.0,201905,1.85,105.31,108.7,28.0
8100.0,201906,1.78,105.17,109.0,32.0
4531.0,201906,1.78,105.17,109.0,32.0
8067.0,201907,1.68,104.91,107.8,37.0
4287.0,201907,1.68,104.91,107.8,37.0
8093.0,201908,1.52,105.21,105.4,15.5
4343.0,201908,1.52,105.21,105.4,15.5
8085.0,201909,1.57,105.57,105.3,33.2
4441.0,201909,1.57,105.57,105.3,33.2
